club_id,club_name,override_league_id,override_league_display,reason
990,Coventry City,GB1,Premier League,promoted to Premier League for 26/27
677,Ipswich Town,GB1,Premier League,promoted to Premier League for 26/27
3008,Hull City,GB1,Premier League,promoted to Premier League for 26/27
543,Wolverhampton Wanderers Football Club,GB2,Championship,relegated from Premier League end of 25/26
1132,Burnley Football Club,GB2,Championship,relegated from Premier League end of 25/26
379,West Ham United Football Club,GB2,Championship,relegated from Premier League end of 25/26
607,Venezia FC,IT1,Serie A,Promoted to Serie A for 26/27
8970,Frosinone Calcio,IT1,Serie A,Promoted to Serie A for 26/27
2919,AC Monza,IT1,Serie A,Promoted to Serie A for 26/27
2239,Unione Sportiva Cremonese S.p.A.,IT2,Serie B,relegated from Serie A end of 25/26
276,Verona Hellas Football Club,IT2,Serie B,relegated from Serie A end of 25/26
4172,Pisa Sporting Club,IT2,Serie B,relegated from Serie A end of 25/26
995,Football Club de Nantes,FR2,Ligue 2,relegated from Ligue 1 end of 25/26
347,Football Club de Metz,FR2,Ligue 2,relegated from Ligue 1 end of 25/26
1095,ESTAC Troyes,FR1,Ligue 1,Promoted to Ligue 1 for 26/27
1164,Le Mans FC,FR1,Ligue 1,Promoted to Ligue 1 for 26/27
237,Real Club Deportivo Mallorca S.A.D.,ES2,La Liga 2,relegated from La Liga end of 25/26
12321,Girona Fútbol Club S. A. D.,ES2,La Liga 2,relegated from La Liga end of 25/26
2497,Real Oviedo S.A.D.,ES2,La Liga 2,relegated from La Liga end of 25/26
630,Racing Santander,ES1,La Liga,Promoted to La Liga for 26/27
897,Deportivo de La Coruña,ES1,La Liga,Promoted to La Liga for 26/27
82,Verein für Leibesübungen Wolfsburg,L2,2. Bundesliga,relegated from Bundesliga end of 25/26
2036,1. Fußballclub Heidenheim 1846,L2,2. Bundesliga,relegated from Bundesliga end of 25/26
35,Fußball-Club St. Pauli von 1910,L2,2. Bundesliga,relegated from Bundesliga end of 25/26
33,FC Schalke 04,L1,Bundesliga,Promoted to Bundesliga for 26/27
64,SV 07 Elversberg,L1,Bundesliga,Promoted to Bundesliga for 26/27
127,SC Paderborn 07,L1,Bundesliga,Promoted to Bundesliga for 26/27
